ItemID,Sentiment,SentimentSource,SentimentText
166,1,Sentiment140, ..... hot choco is the best!
284,0,Sentiment140,  (unsure)  (hassle)  (:  (music) http://plurk.com/p/yq08l
370,0,Sentiment140,   Goodnight   
470,0,Sentiment140," Alistair's friends are all in the kitchen and I'm in my pjs...I JUST WANT A CUP OF TEA, DAMMIT!"
865,0,Sentiment140, does anybody know the statistics homework *not that I have started* nobody is answering my emails about business studies...
1116,0,Sentiment140," A doctor who performed late-term abortions in the US, was shot in his church http://twitzap.com/u/jiQ"
1197,1,Sentiment140, happy that its sunny
1531,1,Sentiment140, can't wait 'til wednesday!!!! &lt;3 CHAMPSSSS!!!!
1605,0,Sentiment140," Can't get my hands on a copy of Cap #600 until at least Thursday. Actively avoiding spoilers, bought Deadpool to cheer me up instead"
1678,0,Sentiment140, Didn't do so well on the job today. Made $78. But I learned some valuable skills at the field manager meeting today!
1813,0,Sentiment140, don't wanna think about cheating  my bf is going to Vegas this weekend. I decided not to go! 
2278,1,Sentiment140,-- harry potter! with BEllA and EMMAliNE. making hotdogs 
2470,0,Sentiment140, Just re-tanlined my basketball sock tanline. Ftl.
2757,0,Sentiment140, I just ran out of my favorite cologne...Who wants to buy me some more??
2901,1,Sentiment140, My girlies are going to be here in approx. 3 - 3 1/2 hours.  Road Trip!!!!
3536,0,Sentiment140, i'm just lost
3563,0,Sentiment140, still haven't left the resort area. Big breakfast and some minor issues with the front desk. Free transportaion is nice but kind of slow
4265,0,Sentiment140, no one calls me anymore
4320,0,Sentiment140, not going to green man now. So sad
4357,0,Sentiment140,#2- todays weather sucks and its perfect close pleaseeee i hope they dont keep my on call 
4525,0,Sentiment140," RMPS exam today - t'will be rubbish I presume. Had a fabby weekend shopping with zoe, 16 mile walk in 4 hr 20 and family dooo XD"
4683,1,Sentiment140, SMILING FACES.
5424,1,Sentiment140,#followfriday hello! TGIF! @silverpeanut @organicbarbee @thesmartipants @rockstarz_mama @dadiaperbank @2chix @papercakes @buymichigannow 
5852,0,Sentiment140, Not happy about having to drive mom's car for the next couple of days till my car gets worked on.
6386,0,Sentiment140,#iremember when lil kim didn't look like a manequin 
6431,1,Sentiment140,#iremember when we wud go ridin our bikes down at da quarry  gud times 
7594,0,Sentiment140,"&amp; don't put mouthwash in your eye,,, it stings!!! "
7942,1,Sentiment140,#shaundiviney likes boys. #bradiewebb 
8044,0,Sentiment140,#squarespace... clearly the winner should be me because i've had a lot of bad luck lately 
8306,1,Sentiment140,"&quot;all i wanna do is have some fun, i gotta feeling im not the only one..&quot; haha "
8491,1,Sentiment140,"&amp; JM are eatin' breaky, watchin' toons! Good Monday Morning!! "
10357,1,Sentiment140,"&quot;On Wednesdays I Go Shopping and Have Buttered Scones for Tea.&quot;  Yes, that's the blog title.    Jen http://ajroxmywhitesox.mlblogs.com"
10536,0,Sentiment140,#Idol season 5 finalist Kellie Pickler doesn't have a monkey anymore!  http://tr.im/oXEa
11371,0,Sentiment140,#shoulda not working with rails i18n 
11461,0,Sentiment140,#steam why must you fail me so!  The Unreal pack is UNREAL but you won't let me add it to my cart 
11591,1,Sentiment140,"#tokiohotel wow, the background is interesting! reminds me of harry potter's hogwarts  our tokio hotel wizards- they're magic! (="
11693,0,Sentiment140,(((((( FUCK so worrie text me 6034385620 im upset 
11735,0,Sentiment140,* - FUCK !! not e practice soo Now What ??! bored . . here w/ goldie in the hallway or w.e .  this day is not running on my schedule .
11843,0,Sentiment140,"*, I miss the old you. really, but i can't seem to get the words out when i'm with you... I don't know how to tell you,how you'll react "
12000,1,Sentiment140,(Jess) is watching the mtv movie awards.  
12135,1,Sentiment140,*channellive* days gonna get better god willing  yaye no tears today! cbetta!
12429,0,Sentiment140,*shouts* Morning thank god for waking mi up  2 see another beautiful day bout to call mi mumma miss her 
13091,1,Sentiment140,", hello twitterers!  nothing to do!"
13100,0,Sentiment140,". . . .  im going to miss you, Milo x"
13113,1,Sentiment140,*yes* i know it's written in italian - but the photos are in english  http://bit.ly/1eQAG
13270,1,Sentiment140,.. up and recycled them the second i got home. my dad said it was solid  i'm so happy for myselff
14074,0,Sentiment140,"&quot;through the storms and the night, baby you stood by my side&quot; http://twitpic.com/6g80m  G'night twitterverse! Gym final in the morning "
14091,0,Sentiment140,"&quot;Ultrasn0w, which will be released sometime soon&quot;   ...  #dev-team"
14118,0,Sentiment140,"...and yes, I did cry at the end of the episode.... they added an important character, which the actor passed away, to the end. "
14511,1,Sentiment140,...oh! and hollys baby shower was actually fun! 
14564,1,Sentiment140,...gerade Twitter mit Facebook verbunden 
15319,1,Sentiment140,*hear .....grrrrrr 
15321,1,Sentiment140,"*Hey @jonasbrothers *Hi guys!  how are you? I'm Francisca from Chile,I must say that I like a lot your music {continues..}* #jonasliveonfb"
16217,0,Sentiment140,; too lazy to eat lunch and about to watch Slumdog Millionaire! yay! it kinda sucks cos I wont be able to go to practice today  ohwell.
16647,0,Sentiment140,... OMY! Jus woke up!! But was wishing I woke up sumwer in NY!!  Lol
17298,0,Sentiment140,...has a really sore head!!  
17398,0,Sentiment140,@__Gale__Girl__ OMG I feel the same way about qaf too! too bad it lasted for 5 seasons only!and the ending was really good but depressing 
17702,1,Sentiment140,@_bellamuerte_ lol breakfast. it's only going on 11am.  and i... still haven't left the computer since i posted that.
18088,1,Sentiment140,..is on movie mode again  so cold monday...
18293,1,Sentiment140,"@_emmajane_ ah only just seen it! Tell him to make sure its the the top thing, preferably before Leeds "
18680,0,Sentiment140,: i miss my family  happy father's day dad &amp; joseph!!
19099,0,Sentiment140,":o Wow only just found out new xbox is called xbox720 , how did i not no im a geek ... "
19372,1,Sentiment140,@ angelireul: photo with my ass!! FTW!!! 
19405,1,Sentiment140,@_Maxwell_  Hey M.....I just took a test @ Franklin R Lane H.S......I felt like I did well!!! 
19680,0,Sentiment140,@_erica guh my armory pages still arent updating 
19763,1,Sentiment140,@_RealJoker_ No he doesn't *hugs* 
19924,0,Sentiment140,@_glamour_ RIGHT! It got cancelled as soon as got hooked! Lol. 
20266,0,Sentiment140,"@_jibril i'll be there in a bit guys, my stupid computer died on me "
20414,0,Sentiment140,@ work 
21372,0,Sentiment140,@_CorruptedAngel  ugh i hate how it fucking exceeds so easy 
21519,0,Sentiment140,@_tan_ i know  i think we traded it in when buying sims 3 for a discount.  have you tried #sims3 yet? i think it's a good replacement.
21534,0,Sentiment140,@_crislyn and who's this? and bakit wala si baylee? 
21750,1,Sentiment140,@2thousandand9 thaaanks! 
22349,1,Sentiment140,@_We_ArE_bRoKeN_ $50 is fine for me  pick it up tomorrow 
24152,0,Sentiment140,@20strong is that what the dr said? Poor matt 
24977,0,Sentiment140,@3ree6ixty COZ im underage!  well that should've worked ill give it to you later then. Damn it i really wanted to see you again!!!
24988,0,Sentiment140,"@3stripe yeah, still waitin' "
25052,1,Sentiment140,@ACRead The pocket cover the hero looked constipated and the car one- I have no idea because physically its impossible 
25097,1,Sentiment140,@ACummings You are beautiful! I can't believe we forgot the photo shoot ! But this one is good   http://is.gd/JjUQ
25225,1,Sentiment140,@4play2nite I wish it was literal party time! I guess we will just have to &quot;Twitter party&quot; until works over 
25416,1,Sentiment140,@311_Nick http://twitpic.com/4xq3g - I'm guessing a heavier set-list for tonight  A little stress relief.
25779,1,Sentiment140,"@addoy wow! tomorrow?! today portuguese, tomorrow maths? oh.. good luck! :S (u can do it!  )"
26207,0,Sentiment140,@6rh123 Sorry nothing for Southampton  be something for you soon
26391,1,Sentiment140,@adri_hardcore  yay!
26454,0,Sentiment140,"@92carina he deffo dont look like @dannymcfly anymore   He needs to get normal hair again, or I might go insane!!!!"
26578,1,Sentiment140,@A_Italiano so i was reading david arch.'s twitter and he heard his song on the radio and he said it was awkward. lol. 
26701,1,Sentiment140,@A_Made_Mossard hahahahah yup i was named after her 
26836,0,Sentiment140,"@A1O I missedd it  im so sorry, I just got in.. I thought my BB would allow me too but next one you got my word!"
27235,0,Sentiment140,@aaronrothe oh my god shut up now i'm never going to be able to go outside again for fear of dirty needle mosquitoes 
27539,0,Sentiment140,@agoss indeed. the only person who can fix it is james. and i think i'm about his least favourite person in the world. mehhh 
28909,0,Sentiment140,@AC_1 i am SO mad i missed it  and i won't get to listen next week because i'm in south dakota for basketball... bummer!
29233,1,Sentiment140,@AChocobo *Gives a waffle* Did you want to race? We have several race tracks for you to choose from. 
29355,1,Sentiment140,"@akane_takamura ...more, no less.  I will really miss you, Jan. You know no matter how hard we try, we won't find another Janah. So..."
29458,1,Sentiment140,"@AkiraRhymes when i read small text that's long, i have to use a bookmark to block away the lines below... i'm special "
30502,1,Sentiment140,@aditya page genny to rescue you 
30507,1,Sentiment140,@adityab wow cool thanks 
30727,0,Sentiment140,"@adrianpesebre can you teach me how to send an MMS? Whenever I send MMS, sending failed. "
31094,1,Sentiment140,@AdisaEkua Awww! U have my pic up! That makes me smile. 
31300,1,Sentiment140,@AETelevision Get a twitter just for Obsessed . It's my new favorite show 
31306,0,Sentiment140,@AlexAllTimeLow you guys are spoiling Australia.  i'm jealous.
31489,1,Sentiment140,"@AdrianHiggs don't panic, I can deliver if you can't get any "
31573,0,Sentiment140,@adrianm14 i dont have twitter on my phone  
31634,1,Sentiment140,@AlexDScott @bendymixer Our email server is down so will reply ASAP 
31756,0,Sentiment140,@alexisderailed dad won't let me out! He was like 'do not answer that phone.' 
32356,0,Sentiment140,@agactinggirl aww i miss john ritter too 
32554,0,Sentiment140,"@ageoforton 16 straight losing seasons, likely going to 17 because they just got rid of their best player. as usual. uh...yeah. "
32686,0,Sentiment140,@ago2911 how does the sight work?? and what is it again? everytime i download it gives me crap  #BSB
32944,0,Sentiment140,@ahj More speculation in the press today about Chris considering leaving before he's dumped 
33353,0,Sentiment140,"@aidanmacmahon ahhh same  i was actually enjoying it, and the excitement of the game is killing me haha"
33691,0,Sentiment140,@Alizaliz oath! I woke up at 12 and half the day is gone already 
33720,1,Sentiment140,@allaboutenergy Hey Beautiful Lady and to you also. HOpe you have had a lovely weekend 
34441,1,Sentiment140,@alltime_love   ok! YAY for new nicknames!!!!!! Hahahaha xxxxx Nighty!
34634,1,Sentiment140,@akojen ah....got my dramas in a twist...hang on  *blushes*
34678,1,Sentiment140,@almostsk8 you drunk!! 
34818,0,Sentiment140,"@akayoungin ohkohk, i just booked i put JUNE 31ST and not MAY lmfao. whocares,its june now and its cold  lol"
35172,0,Sentiment140,@alwaysmuah Hey Ruthie girl... u send me all these lovely twitts but never respond!  I'm hurt... how's Mikey and Dion?
35310,0,Sentiment140,@alyseshaw i'm gonna try to come to your purse party i'm broke though.  i miss you 
35417,0,Sentiment140,@albanydia Not that funny! I wont jump 
35653,1,Sentiment140,@Alyssa_Milano Nice to see you up so early. Nothing better than an early Sunday tweetie message from Alyssa.  Have a wonderful Sunday!
35715,1,Sentiment140,@AlanisNews You're doing a great job! 
36125,1,Sentiment140,@AleisiAntoinae LOL I was booin the other person in the picture u posted not u haha 
36515,0,Sentiment140,@AlexAllTimeLow http://twitpic.com/7q53u - awww he's so cute. makes me miss my dog 
36777,0,Sentiment140,@alexfigueroa ï¿½ My friend is at home  just texted her... ai' pa' l'otra
36890,1,Sentiment140,@Algebraoverdose Haha um. Well i'm not feeling too good. Cough. I just wanna stay in bed 
36930,0,Sentiment140,@ali360  any good streaming then?
36987,0,Sentiment140,@Alexislovesjb awww its ok...thats how i feel w/ niley 
37134,0,Sentiment140,"@Aliciamckee Me too,it would completely make her life &amp; put a little smile on her face during a tough time for her "
37665,1,Sentiment140,@Alleexx1995 yep if that's ok 
37725,1,Sentiment140,@amandapatt: I only have one word for you...eggcrate. 
38079,0,Sentiment140,@allstaralice IRL she's gonna be gone for a week 
38102,1,Sentiment140,"@ambergotskillz Some days are like that and some days you forget, it makes it easier. "
38275,0,Sentiment140,@AmeliesBakery you're not following me  email me at justin@cltblog.com
38278,1,Sentiment140,@ameliorator You were anything but. Later. 
38406,0,Sentiment140,@amethystirene; my family is very protective and wont let me go anywhere myself 
38773,1,Sentiment140,"@amy_wright Ah right. Well hope you do well, I'm sure you will "
38848,0,Sentiment140,@AlterBridgeFans I have no luck with the forum EVER 
39146,1,Sentiment140,"@amys_bus_ticket I think I will, peace comes after you lay your loved once to rest "
39251,1,Sentiment140,@amyxstftk bahaha i loook like kung fu panda when i wake up in the morning. 
40417,1,Sentiment140,@AmberPacific Shank you 
40706,1,Sentiment140,@AMM31 you wanna crank that souljah boy  LOL do the stinky leg in stead LOL  http://bit.ly/lsJSg
41128,1,Sentiment140,@amylovesjb  mayyyybe
42210,1,Sentiment140,"@andyclemmensen 350 exactly!  im ashamed to say it, but i counted lol"
42305,1,Sentiment140,@AndyTheHill It looked like a leprechaun to me!! Everybody seen the leprechaun say 'yeah'! **YEAH!!**   
42820,1,Sentiment140,@Angel35000 Thank you for following me 
42960,1,Sentiment140,"@angelamelick No, you were excellent actually!  By the way, this is Will from The 404s. ;)"
43022,1,Sentiment140,@Angelayang I love that song ! Even though she wrote it about Joe Jonas. It is still great  x
43236,0,Sentiment140,"@AnikoHeartsJon Hey Aniko, how R u?!Just wrote the next part, tell me if u like it ;) Can't upload the last pic  It was a bit of the diary"
43401,0,Sentiment140,@AngeltownDesign thanks for that concerned good night message. feel exhausted today. 
44382,1,Sentiment140,@Annhesketh So I saw! Good for you! 
44592,1,Sentiment140,"@anniesorganics yes I am, thanks for the nudge. twitter is evil "
44721,1,Sentiment140,@annemai - Likewise  We have the good spot.
44864,1,Sentiment140,@alicefaucher ..it didn't seem anything new to me (we did it with video games) - just logical. I really should blog about stuff 
44962,0,Sentiment140,@anniehuffman  i have eight  
45047,1,Sentiment140,"@annikarae That's a superb picture, doll face "
45508,0,Sentiment140,@alina21 NOOOOOOOO!  ooh so what happened?
45627,1,Sentiment140,@antigir1 I'm gonna make it for the BBQ. And I have named it Krystal's Korn Salad. 
46157,0,Sentiment140,@aplusk but lost 20 lbs in the 21 days  still bit my whole family in the process hahaha
46498,1,Sentiment140,"@Appledoe, thanks for signing up  we hope we can help out similar to Habbos."
46504,0,Sentiment140,@apercheddove  Aww!  I won't say anything!! /giggle!
46667,1,Sentiment140,@aplusk Hi Aston ! Can/will you help me with this project ? http://www.FeelFreeToDonate.com you have almost 2 Million Followers  thx
47199,0,Sentiment140,@AquariusLove i know what you mean!! 
48309,1,Sentiment140,@Artemis_Neith ..there's sth I need to ask. Yay for James! 
48505,0,Sentiment140,@Alyssa_Milano Hey...I lack in your Cool Person Edition list...  LOL. Good Night..Te quiero mucho...Besos..???
49168,1,Sentiment140,@AshleyAndreano it was an awesome wedding mrs. andreano!! 
49181,0,Sentiment140,@ArielPritts it's crazy how much i miss you already 
49256,1,Sentiment140,"@AshleyBlaine hey now! its not THAT bad! I should know, I worked on there for a brief moment in time. "
49430,0,Sentiment140,@ARKATECHBEATZ ughhhh im scared 
49533,1,Sentiment140,@ashleyrowe You know I love miss rowe designs! 
50181,1,Sentiment140,"@arviena hahaha...come, be a judge, need your brutal honesty "
50290,0,Sentiment140,@AryIrigoyen oh!  I want one!!! 
50564,0,Sentiment140,@ASLANmedia that's what i asked myself the whole day  what do you think about the events of this day so far?
50788,1,Sentiment140,@ashleebabe12 Get 100 followers a day using www.tweeterfollow.com Once you add everyone you are on the train or pay vip 
51111,0,Sentiment140,@ashleeyhayden aren't you lucky eh? wouldve loved that  you shoulda flown me over lol xxx
51614,1,Sentiment140,@aubreyoday we need some new music from you. when will we get any? 
51774,0,Sentiment140,@Audreyyg i miss your voice .. 
51954,0,Sentiment140,@auroratampon I wanna cuddle you up in a bucket of stars and watch a&amp;e. Maybe boxed sangria. I need you.   
52386,1,Sentiment140,@AveryFaneActual LOL! I guess that would make sense 
52679,1,Sentiment140,@assuranceagency I never get tired of watching the Harry Potter movies! I can't wait to see the next. 
52817,0,Sentiment140,@astrobrain Couldn't find any of them  my comic store sucks.
54302,1,Sentiment140,@badmummy currently drawing up one of those too  should make future jobs (somewhat) easier... i hope!
54355,0,Sentiment140,"@avgjanecrafter Awesome!!  Let me know how it is, I am taking Nico to see it next week (I'm guessing you're not going to want to go  )."
54459,1,Sentiment140,@baileeann yay bails. so happy for you. text me. 
54590,1,Sentiment140,@ay_camille I love going to the movies... But 2moro is a $3 movie... Cuz I'm broke 
54654,1,Sentiment140,"@Aydsman Cheers, bro. Emma Dean is pretty awesome too "
54923,1,Sentiment140,@bandmonkey08 I didnt know you were on one 
54991,1,Sentiment140,@banksboy okay well you've got my number if you ever want to talk 
55055,0,Sentiment140,@banoura nothing is working! I'm twittering on my iphone! 
55345,1,Sentiment140,@barracuda808  when r u home? Lemme know!!! My bday is next weekend. And were hitting it HARD!!! 
55503,1,Sentiment140,@batmule_dk congrats - I think  When do you get results?
55519,0,Sentiment140,@battleshipdrive oh bb 
55816,1,Sentiment140,@babyitseasy is it just me or have I surpassed? 
55890,1,Sentiment140,"@babyvtec I'll have my car, so we can drive if we really need to. "
56528,1,Sentiment140,@bdjones if he had long blonde pigtails and matching arm warmers....maybe   http://www.rainbowbrite.net/
56676,0,Sentiment140,@BeaMe101 i need one of your hugs Honey-Bea 
56791,1,Sentiment140,@Bard_Letsinger really!?!? I must meet this &quot;wife&quot; you speak of. 
56829,1,Sentiment140,@beatbutcha buaahhahaah yay  my butchy's back 
56997,1,Sentiment140,@bebecannelle Looks great!  Eye friendly and easy 
57629,1,Sentiment140,@BeckyMcCray A week of fun w/son &amp; then some time off actually... summer! 
57915,0,Sentiment140,@Bdub1983 thanks! Praise God no one I knew was on that train! 
58063,0,Sentiment140,@Beever  Its  not on the websiite  i brought it irl! :o
